Time	Node	Type	Packets	
43	1	CacheHits	0
43	1	CacheMisses	169
43	2	CacheHits	1
43	2	CacheMisses	170
44	0	CacheHits	0
44	0	CacheMisses	0
44	1	CacheHits	0
44	1	CacheMisses	0
44	2	CacheHits	0
44	2	CacheMisses	0
45	0	CacheHits	0
45	0	CacheMisses	17
45	1	CacheHits	0
45	1	CacheMisses	25
45	2	CacheHits	1
45	2	CacheMisses	34
46	0	CacheHits	0
46	0	CacheMisses	237
46	1	CacheHits	0
46	1	CacheMisses	229
46	2	CacheHits	0
46	2	CacheMisses	221
47	0	CacheHits	0
47	0	CacheMisses	0
47	1	CacheHits	0
47	1	CacheMisses	0
47	2	CacheHits	0
47	2	CacheMisses	0
48	0	CacheHits	0
48	0	CacheMisses	250
48	1	CacheHits	0
48	1	CacheMisses	250
48	2	CacheHits	1
48	2	CacheMisses	251
49	0	CacheHits	0
49	0	CacheMisses	105
49	1	CacheHits	0
49	1	CacheMisses	105
49	2	CacheHits	1
49	2	CacheMisses	106
50	0	CacheHits	0
50	0	CacheMisses	0
50	1	CacheHits	0
50	1	CacheMisses	0
50	2	CacheHits	0
50	2	CacheMisses	0
51	0	CacheHits	0
51	0	CacheMisses	64
51	1	CacheHits	0
51	1	CacheMisses	73
51	2	CacheHits	1
51	2	CacheMisses	74
52	0	CacheHits	0
52	0	CacheMisses	9
52	1	CacheHits	0
52	1	CacheMisses	0
52	2	CacheHits	0
52	2	CacheMisses	0
53	0	CacheHits	0
53	0	CacheMisses	0
53	1	CacheHits	0
53	1	CacheMisses	0
53	2	CacheHits	0
53	2	CacheMisses	0
54	0	CacheHits	0
54	0	CacheMisses	35
54	1	CacheHits	0
54	1	CacheMisses	35
54	2	CacheHits	1
54	2	CacheMisses	36
55	0	CacheHits	0
55	0	CacheMisses	0
55	1	CacheHits	0
55	1	CacheMisses	0
55	2	CacheHits	0
55	2	CacheMisses	0
56	0	CacheHits	0
56	0	CacheMisses	60
56	1	CacheHits	0
56	1	CacheMisses	60
56	2	CacheHits	1
56	2	CacheMisses	61
57	0	CacheHits	0
57	0	CacheMisses	0
57	1	CacheHits	0
57	1	CacheMisses	0
57	2	CacheHits	0
57	2	CacheMisses	0
58	0	CacheHits	0
58	0	CacheMisses	59
58	1	CacheHits	0
58	1	CacheMisses	59
58	2	CacheHits	1
58	2	CacheMisses	60
59	0	CacheHits	0
59	0	CacheMisses	0
59	1	CacheHits	0
59	1	CacheMisses	0
59	2	CacheHits	0
59	2	CacheMisses	0
60	0	CacheHits	0
60	0	CacheMisses	84
60	1	CacheHits	0
60	1	CacheMisses	84
60	2	CacheHits	1
60	2	CacheMisses	85
61	0	CacheHits	0
61	0	CacheMisses	34
61	1	CacheHits	0
61	1	CacheMisses	34
61	2	CacheHits	1
61	2	CacheMisses	34
62	0	CacheHits	0
62	0	CacheMisses	0
62	1	CacheHits	0
62	1	CacheMisses	0
62	2	CacheHits	0
62	2	CacheMisses	0
63	0	CacheHits	0
63	0	CacheMisses	59
63	1	CacheHits	0
63	1	CacheMisses	59
63	2	CacheHits	1
63	2	CacheMisses	60
64	0	CacheHits	0
64	0	CacheMisses	0
64	1	CacheHits	0
64	1	CacheMisses	0
64	2	CacheHits	0
64	2	CacheMisses	0
65	0	CacheHits	0
65	0	CacheMisses	67
65	1	CacheHits	0
65	1	CacheMisses	67
65	2	CacheHits	1
65	2	CacheMisses	68
66	0	CacheHits	0
66	0	CacheMisses	0
66	1	CacheHits	0
66	1	CacheMisses	0
66	2	CacheHits	0
66	2	CacheMisses	0
67	0	CacheHits	0
67	0	CacheMisses	0
67	1	CacheHits	0
67	1	CacheMisses	0
67	2	CacheHits	0
67	2	CacheMisses	0
68	0	CacheHits	0
68	0	CacheMisses	62
68	1	CacheHits	0
68	1	CacheMisses	62
68	2	CacheHits	1
68	2	CacheMisses	63
69	0	CacheHits	0
69	0	CacheMisses	0
69	1	CacheHits	0
69	1	CacheMisses	0
69	2	CacheHits	0
69	2	CacheMisses	0
70	0	CacheHits	0
70	0	CacheMisses	91
70	1	CacheHits	0
70	1	CacheMisses	91
70	2	CacheHits	1
70	2	CacheMisses	92
71	0	CacheHits	0
71	0	CacheMisses	0
71	1	CacheHits	0
71	1	CacheMisses	0
71	2	CacheHits	0
71	2	CacheMisses	0
72	0	CacheHits	0
72	0	CacheMisses	66
72	1	CacheHits	0
72	1	CacheMisses	66
72	2	CacheHits	1
72	2	CacheMisses	67
73	0	CacheHits	0
73	0	CacheMisses	83
73	1	CacheHits	0
73	1	CacheMisses	83
73	2	CacheHits	1
73	2	CacheMisses	84
74	0	CacheHits	0
74	0	CacheMisses	0
74	1	CacheHits	0
74	1	CacheMisses	0
74	2	CacheHits	0
74	2	CacheMisses	0
75	0	CacheHits	0
75	0	CacheMisses	84
75	1	CacheHits	0
75	1	CacheMisses	84
75	2	CacheHits	1
75	2	CacheMisses	85
76	0	CacheHits	0
76	0	CacheMisses	0
76	1	CacheHits	0
76	1	CacheMisses	0
76	2	CacheHits	0
76	2	CacheMisses	0
77	0	CacheHits	0
77	0	CacheMisses	86
77	1	CacheHits	0
77	1	CacheMisses	86
77	2	CacheHits	1
77	2	CacheMisses	87
78	0	CacheHits	0
78	0	CacheMisses	0
78	1	CacheHits	0
78	1	CacheMisses	0
78	2	CacheHits	0
78	2	CacheMisses	0
79	0	CacheHits	0
79	0	CacheMisses	0
79	1	CacheHits	0
79	1	CacheMisses	0
79	2	CacheHits	1
79	2	CacheMisses	7
80	0	CacheHits	0
80	0	CacheMisses	84
80	1	CacheHits	0
80	1	CacheMisses	84
80	2	CacheHits	0
80	2	CacheMisses	78
81	0	CacheHits	0
81	0	CacheMisses	0
81	1	CacheHits	0
81	1	CacheMisses	0
81	2	CacheHits	0
81	2	CacheMisses	0
82	0	CacheHits	0
82	0	CacheMisses	133
82	1	CacheHits	0
82	1	CacheMisses	133
82	2	CacheHits	1
82	2	CacheMisses	134
83	0	CacheHits	0
83	0	CacheMisses	0
83	1	CacheHits	0
83	1	CacheMisses	0
83	2	CacheHits	0
83	2	CacheMisses	0
84	0	CacheHits	0
84	0	CacheMisses	95
84	1	CacheHits	0
84	1	CacheMisses	95
84	2	CacheHits	1
84	2	CacheMisses	96
85	0	CacheHits	0
85	0	CacheMisses	133
85	1	CacheHits	0
85	1	CacheMisses	133
85	2	CacheHits	1
85	2	CacheMisses	134
86	0	CacheHits	0
86	0	CacheMisses	0
86	1	CacheHits	0
86	1	CacheMisses	0
86	2	CacheHits	0
86	2	CacheMisses	0
87	0	CacheHits	0
87	0	CacheMisses	118
87	1	CacheHits	0
87	1	CacheMisses	126
87	2	CacheHits	1
87	2	CacheMisses	136
88	0	CacheHits	0
88	0	CacheMisses	92
88	1	CacheHits	0
88	1	CacheMisses	84
88	2	CacheHits	0
88	2	CacheMisses	75
89	0	CacheHits	0
89	0	CacheMisses	0
89	1	CacheHits	0
89	1	CacheMisses	0
89	2	CacheHits	0
89	2	CacheMisses	0
90	0	CacheHits	0
90	0	CacheMisses	148
90	1	CacheHits	0
90	1	CacheMisses	148
90	2	CacheHits	1
90	2	CacheMisses	149
91	0	CacheHits	0
91	0	CacheMisses	0
91	1	CacheHits	0
91	1	CacheMisses	0
91	2	CacheHits	0
91	2	CacheMisses	0
92	0	CacheHits	0
92	0	CacheMisses	130
92	1	CacheHits	0
92	1	CacheMisses	130
92	2	CacheHits	1
92	2	CacheMisses	131
93	0	CacheHits	0
93	0	CacheMisses	65
93	1	CacheHits	0
93	1	CacheMisses	65
93	2	CacheHits	1
93	2	CacheMisses	66
94	0	CacheHits	0
94	0	CacheMisses	0
94	1	CacheHits	0
94	1	CacheMisses	0
94	2	CacheHits	0
94	2	CacheMisses	0
95	0	CacheHits	0
95	0	CacheMisses	126
95	1	CacheHits	0
95	1	CacheMisses	126
95	2	CacheHits	1
95	2	CacheMisses	127
96	0	CacheHits	0
96	0	CacheMisses	0
96	1	CacheHits	0
96	1	CacheMisses	0
96	2	CacheHits	0
96	2	CacheMisses	0
97	0	CacheHits	0
97	0	CacheMisses	2
97	1	CacheHits	0
97	1	CacheMisses	10
97	2	CacheHits	1
97	2	CacheMisses	11
98	0	CacheHits	0
98	0	CacheMisses	73
98	1	CacheHits	0
98	1	CacheMisses	65
98	2	CacheHits	0
98	2	CacheMisses	65
99	0	CacheHits	0
99	0	CacheMisses	0
99	1	CacheHits	0
99	1	CacheMisses	0
99	2	CacheHits	0
99	2	CacheMisses	0
100	0	CacheHits	0
100	0	CacheMisses	92
100	1	CacheHits	0
100	1	CacheMisses	92
100	2	CacheHits	1
100	2	CacheMisses	93
101	0	CacheHits	0
101	0	CacheMisses	0
101	1	CacheHits	0
101	1	CacheMisses	0
101	2	CacheHits	0
101	2	CacheMisses	0
102	0	CacheHits	0
102	0	CacheMisses	87
102	1	CacheHits	0
102	1	CacheMisses	87
102	2	CacheHits	1
102	2	CacheMisses	88
103	0	CacheHits	0
103	0	CacheMisses	113
103	1	CacheHits	0
103	1	CacheMisses	113
103	2	CacheHits	1
103	2	CacheMisses	114
104	0	CacheHits	0
104	0	CacheMisses	0
104	1	CacheHits	0
104	1	CacheMisses	0
104	2	CacheHits	0
104	2	CacheMisses	0
105	0	CacheHits	0
105	0	CacheMisses	93
105	1	CacheHits	0
105	1	CacheMisses	93
105	2	CacheHits	1
105	2	CacheMisses	94
106	0	CacheHits	0
106	0	CacheMisses	0
106	1	CacheHits	0
106	1	CacheMisses	0
106	2	CacheHits	0
106	2	CacheMisses	0
107	0	CacheHits	0
107	0	CacheMisses	57
107	1	CacheHits	0
107	1	CacheMisses	66
107	2	CacheHits	1
107	2	CacheMisses	75
108	0	CacheHits	0
108	0	CacheMisses	73
108	1	CacheHits	0
108	1	CacheMisses	64
108	2	CacheHits	0
108	2	CacheMisses	56
109	0	CacheHits	0
109	0	CacheMisses	0
109	1	CacheHits	0
109	1	CacheMisses	0
109	2	CacheHits	0
109	2	CacheMisses	0
