Time	Node	Type	Packets	
43	1	CacheHits	0
43	1	CacheMisses	0
43	2	CacheHits	0
43	2	CacheMisses	0
44	0	CacheHits	0
44	0	CacheMisses	279
44	1	CacheHits	0
44	1	CacheMisses	287
44	2	CacheHits	1
44	2	CacheMisses	297
45	0	CacheHits	0
45	0	CacheMisses	670
45	1	CacheHits	0
45	1	CacheMisses	662
45	2	CacheHits	0
45	2	CacheMisses	653
46	0	CacheHits	0
46	0	CacheMisses	104
46	1	CacheHits	0
46	1	CacheMisses	113
46	2	CacheHits	1
46	2	CacheMisses	122
47	0	CacheHits	0
47	0	CacheMisses	833
47	1	CacheHits	0
47	1	CacheMisses	833
47	2	CacheHits	0
47	2	CacheMisses	833
48	0	CacheHits	0
48	0	CacheMisses	775
48	1	CacheHits	0
48	1	CacheMisses	774
48	2	CacheHits	1
48	2	CacheMisses	775
49	0	CacheHits	0
49	0	CacheMisses	833
49	1	CacheHits	0
49	1	CacheMisses	833
49	2	CacheHits	0
49	2	CacheMisses	833
50	0	CacheHits	0
50	0	CacheMisses	774
50	1	CacheHits	0
50	1	CacheMisses	774
50	2	CacheHits	1
50	2	CacheMisses	775
51	0	CacheHits	0
51	0	CacheMisses	318
51	1	CacheHits	0
51	1	CacheMisses	310
51	2	CacheHits	0
51	2	CacheMisses	302
52	0	CacheHits	0
52	0	CacheMisses	456
52	1	CacheHits	0
52	1	CacheMisses	464
52	2	CacheHits	1
52	2	CacheMisses	474
53	0	CacheHits	0
53	0	CacheMisses	67
53	1	CacheHits	0
53	1	CacheMisses	59
53	2	CacheHits	0
53	2	CacheMisses	50
54	0	CacheHits	0
54	0	CacheMisses	226
54	1	CacheHits	0
54	1	CacheMisses	226
54	2	CacheHits	1
54	2	CacheMisses	227
55	0	CacheHits	0
55	0	CacheMisses	0
55	1	CacheHits	0
55	1	CacheMisses	0
55	2	CacheHits	0
55	2	CacheMisses	0
56	0	CacheHits	0
56	0	CacheMisses	362
56	1	CacheHits	0
56	1	CacheMisses	362
56	2	CacheHits	1
56	2	CacheMisses	363
57	0	CacheHits	0
57	0	CacheMisses	10
57	1	CacheHits	0
57	1	CacheMisses	10
57	2	CacheHits	1
57	2	CacheMisses	19
58	0	CacheHits	0
58	0	CacheMisses	359
58	1	CacheHits	0
58	1	CacheMisses	359
58	2	CacheHits	0
58	2	CacheMisses	351
59	0	CacheHits	0
59	0	CacheMisses	0
59	1	CacheHits	0
59	1	CacheMisses	0
59	2	CacheHits	0
59	2	CacheMisses	0
60	0	CacheHits	0
60	0	CacheMisses	407
60	1	CacheHits	0
60	1	CacheMisses	415
60	2	CacheHits	1
60	2	CacheMisses	424
61	0	CacheHits	0
61	0	CacheMisses	152
61	1	CacheHits	0
61	1	CacheMisses	144
61	2	CacheHits	0
61	2	CacheMisses	135
62	0	CacheHits	0
62	0	CacheMisses	223
62	1	CacheHits	0
