Time	Node	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
282.452	2	141	0	5115025	28	0	
284.452	2	142	0	5403024	28	0	
286.452	2	143	0	4179338	28	0	
288.452	2	144	0	4836248	28	0	
290.452	2	145	0	4200992	28	0	
292.452	2	146	0	6767293	28	0	
294.452	2	147	0	6822594	28	0	
296.452	2	148	0	5917684	28	0	
298.452	2	149	0	5674591	28	0	
300.452	2	150	0	6690843	28	0	
302.452	2	151	0	6902797	28	0	
304.452	2	152	0	6944992	28	0	
306.452	2	153	0	6700164	28	0	
308.452	2	154	0	6255119	28	0	
310.452	2	155	0	5953575	28	0	
312.452	2	156	0	7562177	28	0	
314.452	2	157	0	6917121	28	0	
316.452	2	158	0	6444160	28	0	
318.452	2	159	0	6781161	28	0	
320.452	2	160	0	7456549	28	0	
322.452	2	161	0	5823871	28	0	
324.452	2	162	0	6760446	28	0	
326.452	2	163	0	7353809	28	0	
328.452	2	164	0	6751456	28	0	
330.452	2	165	0	6474431	28	0	
332.452	2	166	0	6141293	28	0	
334.452	2	167	0	5832951	28	0	
336.452	2	168	0	5505767	28	0	
338.452	2	169	0	4500148	28	0	
340.452	2	170	0	5234650	28	0	
342.452	2	171	0	6777984	28	0	
344.452	2	172	0	7508351	28	0	
346.452	2	173	0	7415411	28	0	
348.452	2	174	0	7324520	28	0	
350.452	2	175	0	7446495	28	0	
352.452	2	176	0	7047309	28	0	
354.452	2	177	0	6816571	28	0	
356.452	2	178	0	6918671	28	0	
358.452	2	179	0	7939105	28	0	
360.452	2	180	0	7304101	28	0	
362.452	2	181	0	5082510	28	0	
364.452	2	182	0	7187087	28	0	
366.452	2	183	0	7174888	28	0	
368.452	2	184	0	6448389	28	0	
370.452	2	185	0	5955274	28	0	
372.452	2	186	0	5984124	28	0	
374.452	2	187	0	5403209	28	0	
376.452	2	188	0	4869768	28	0	
378.452	2	189	0	5687864	28	0	
380.452	2	190	0	5965666	28	0	
382.452	2	191	0	3084486	28	0	
384.452	2	192	0	3959082	28	0	
386.452	2	193	0	3020603	28	0	
388.452	2	194	0	5370747	28	0	
390.452	2	195	0	5825032	28	0	
392.452	2	196	0	4100645	28	0	
394.452	2	197	0	4071619	28	0	
396.452	2	198	0	3753613	28	0	
398.452	2	199	0	5502924	28	0	
400.452	2	200	0	2849647	28	0	
402.452	2	201	0	4651028	28	0	
404.452	2	202	0	5959875	28	0	
406.452	2	203	0	4644936	28	0	
408.452	2	204	0	5112209	28	0	
410.452	2	205	0	6357552	28	0	
412.452	2	206	0	5466603	28	0	
414.452	2	207	0	5892631	28	0	
416.452	2	208	0	5516970	28	0	
418.452	2	209	0	5732199	28	0	
420.452	2	210	0	7951982	28	0	
422.452	2	211	0	7958963	28	0	
424.452	2	212	0	5555699	28	0	
426.452	2	213	0	6131160	28	0	
428.452	2	214	0	3171813	28	0	
430.452	2	215	0	7234605	28	0	
432.452	2	216	0	7928792	28	0	
434.452	2	217	0	4546145	28	0	
436.452	2	218	0	5477809	28	0	
438.452	2	219	0	3564280	28	0	
440.452	2	220	0	2802666	28	0	
442.452	2	221	0	7085986	28	0	
444.452	2	222	0	5760348	28	0	
446.452	2	223	0	3335633	28	0	
448.452	2	224	0	2930873	28	0	
450.452	2	225	0	4349272	28	0	
452.452	2	226	0	4956526	28	0	
454.452	2	227	0	2199391	28	0	
456.452	2	228	0	5092935	28	0	
458.452	2	229	0	3332872	28	0	
460.452	2	230	0	2887607	28	0	
462.452	2	231	0	4010560	28	0	
464.452	2	232	0	3234740	28	0	
466.452	2	233	0	3870942	28	0	
468.452	2	234	0	3986360	28	0	
470.452	2	235	0	3535929	28	0	
472.452	2	236	0	3867666	28	0	
474.452	2	237	0	4758210	28	0	
476.452	2	238	0	4208063	28	0	
478.452	2	239	0	4871567	28	0	
480.452	2	240	0	4451045	28	0	
482.452	2	241	0	3757445	28	0	
484.452	2	242	0	4175690	28	0	
486.452	2	243	0	5433095	28	0	
488.452	2	244	0	5066196	28	0	
490.452	2	245	0	4774166	28	0	
492.452	2	246	0	4852162	28	0	
494.452	2	247	0	4099111	28	0	
496.452	2	248	0	4776278	28	0	
498.452	2	249	0	5216607	28	0	
500.452	2	250	0	6150706	28	0	
502.452	2	251	0	6601654	28	0	
504.452	2	252	0	6805984	28	0	
506.452	2	253	0	6864977	28	0	
508.452	2	254	0	7291335	28	0	
510.452	2	255	0	7020102	28	0	
512.452	2	256	0	6710988	28	0	
514.452	2	257	0	6728356	28	0	
516.452	2	258	0	6813143	28	0	
518.452	2	259	0	6902737	28	0	
520.452	2	260	0	6791778	28	0	
522.452	2	261	0	6653772	28	0	
524.452	2	262	0	6748553	28	0	
526.452	2	263	0	6358555	28	0	
528.452	2	264	0	5943541	28	0	
530.452	2	265	0	6252357	28	0	
532.452	2	266	0	7182553	28	0	
534.452	2	267	0	7635570	28	0	
536.452	2	268	0	7755909	28	0	
538.452	2	269	0	7531455	28	0	
540.452	2	270	0	7217161	28	0	
542.452	2	271	0	7308933	28	0	
544.452	2	272	0	7313763	28	0	
546.452	2	273	0	7021122	28	0	
548.452	2	274	0	7280977	28	0	
550.452	2	275	0	6713143	28	0	
552.452	2	276	0	7503487	28	0	
